,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Total_Revolving_Bal,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,Gender_F,Gender_M,Education_Level_College,Education_Level_Doctorate,Education_Level_Graduate,Education_Level_High School,Education_Level_Post-Graduate,Education_Level_Uneducated,Education_Level_Unknown,Marital_Status_Divorced,Marital_Status_Married,Marital_Status_Single,Marital_Status_Unknown,Income_Category_$120K +,Income_Category_$40K - $60K,Income_Category_$60K - $80K,Income_Category_$80K - $120K,Income_Category_Less than $40K,Income_Category_Unknown,Card_Category_Blue,Card_Category_Gold,Card_Category_Platinum,Card_Category_Silver
1868,6,1,3,1049,0.6659999999999999,1514,51,0.645,0.27899999999999997,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0
1869,3,5,3,2307,0.848,15243,107,0.754,0.20199999999999999,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
1870,2,1,1,1660,0.88,4586,72,0.7559999999999999,0.552,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
1871,1,4,3,0,0.725,2701,51,0.889,0.0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
1872,2,1,4,1644,0.866,8930,79,0.8370000000000001,0.139,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
1873,3,3,4,868,0.748,4791,68,0.889,0.086,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
1874,3,2,2,0,0.77,4786,73,0.5529999999999999,0.0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
1875,6,2,2,804,0.51,4511,74,0.682,0.15,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
1876,1,0,3,0,0.787,7597,71,0.69,0.0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
1877,3,2,1,1687,0.7659999999999999,4122,74,0.85,0.695,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
1878,4,3,4,1567,0.586,2514,64,0.455,0.588,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
1879,3,3,2,0,0.747,4524,70,0.667,0.0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
1880,6,3,1,2517,0.665,2313,43,0.536,0.701,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
1881,5,3,3,849,0.621,2380,43,0.87,0.5710000000000001,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
1882,1,3,3,1742,1.022,13173,96,0.846,0.11,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
1883,2,2,2,2209,0.6709999999999999,4751,87,0.642,0.644,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
1884,3,2,2,552,0.6990000000000001,2309,49,0.633,0.061,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
1885,3,2,1,1289,0.5589999999999999,3632,50,0.9229999999999999,0.075,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0
1886,4,5,3,2099,0.449,1756,35,0.25,0.061,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
1887,3,2,2,1523,0.765,16237,128,0.753,0.135,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
1888,4,2,4,0,0.677,1731,40,0.7390000000000001,0.0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
1889,3,3,2,2189,0.742,2153,39,0.5,0.18899999999999997,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
1890,1,1,3,1180,0.645,8130,74,0.897,0.318,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
1891,3,3,2,1771,0.711,2554,47,0.516,0.424,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
1892,4,1,4,868,0.828,5228,61,0.6940000000000001,0.564,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
1893,6,3,3,2517,0.561,2000,32,0.28,0.43,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
1894,1,3,4,1506,0.44299999999999995,1915,44,0.375,0.32899999999999996,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
1895,1,2,3,0,0.794,9177,50,1.083,0.0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
1896,5,2,4,1854,0.7120000000000001,4382,74,0.542,0.34299999999999997,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
1897,1,1,1,1779,0.841,8268,73,0.698,0.642,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0
1898,5,1,2,2517,0.632,1221,16,2.2,0.41200000000000003,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0
1899,4,3,2,509,0.625,4050,72,0.5,0.053,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0
1900,5,3,2,1720,0.62,4581,70,0.591,0.607,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
1901,1,1,1,1448,0.565,4575,78,0.5920000000000001,0.381,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
1902,6,1,2,1998,0.679,4702,79,0.927,0.784,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
1903,4,2,3,2085,1.035,5154,80,0.86,0.7170000000000001,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
1904,1,3,2,2517,0.669,4804,79,0.8809999999999999,0.264,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
1905,5,1,3,0,0.53,4432,61,0.605,0.0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
1906,5,5,3,1303,0.599,3243,63,0.615,0.6459999999999999,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0
1907,4,5,3,668,0.894,3931,77,0.7909999999999999,0.019,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0
1908,2,3,1,1937,0.77,5111,90,0.667,0.608,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
1909,3,6,2,1621,0.568,4118,70,0.591,0.6579999999999999,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
1910,6,1,0,1294,0.7909999999999999,1388,37,1.056,0.095,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
1911,4,3,3,1355,0.66,1939,30,0.5,0.272,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
1912,3,3,1,0,0.685,4751,85,0.932,0.0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
1913,4,1,2,1010,0.8690000000000001,3566,76,0.551,0.079,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
1914,6,2,2,0,0.516,4141,87,0.74,0.0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
1915,2,2,1,1143,0.785,8000,96,0.41200000000000003,0.19699999999999998,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
1916,2,2,2,2197,0.647,7053,69,0.865,0.10300000000000001,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
1917,3,1,4,685,0.879,2965,70,0.556,0.125,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
1918,6,2,2,2517,0.887,1689,42,1.1,0.073,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1
1919,3,3,5,670,0.396,1580,54,0.5429999999999999,0.155,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
1920,4,1,2,1374,0.9209999999999999,1197,23,1.3,0.09300000000000001,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
1921,5,3,3,0,0.603,3826,71,0.5429999999999999,0.0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
1922,2,3,4,2517,0.711,14875,107,0.7829999999999999,0.08800000000000001,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
1923,4,3,2,2104,0.8370000000000001,1299,29,0.812,0.259,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
1924,3,3,4,1796,0.597,4077,70,1.0590000000000002,0.6629999999999999,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
1925,6,2,4,2517,0.77,1729,52,0.9259999999999999,0.25,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0
1926,2,2,2,900,1.031,646,10,0.25,0.033,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
1927,6,3,3,0,0.89,2773,34,0.789,0.0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
1928,5,2,4,1513,0.8290000000000001,3462,67,0.5579999999999999,0.872,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
1929,4,1,4,860,0.7609999999999999,4754,79,0.8370000000000001,0.598,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
1930,3,3,2,0,0.988,2544,27,0.929,0.0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0
1931,1,2,3,0,0.727,7555,96,0.574,0.0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
1932,2,3,2,0,0.451,1760,40,0.6,0.0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
1933,3,4,3,0,0.354,1930,41,0.519,0.0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
1934,5,1,2,1720,0.633,1917,37,0.48,0.20800000000000002,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
1935,6,3,4,1993,0.6729999999999999,1867,53,0.767,0.33299999999999996,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
1936,5,3,3,0,0.612,2870,49,0.75,0.0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
1937,3,3,3,2517,1.197,1903,40,0.5379999999999999,0.237,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
1938,3,3,3,1960,1.008,3618,76,0.583,0.262,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
1939,5,3,2,0,0.8009999999999999,3880,67,0.8109999999999999,0.0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
1940,3,4,2,1033,0.95,5149,90,0.636,0.556,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
1941,4,3,3,2517,1.052,2971,54,0.742,0.23800000000000002,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
1942,5,3,3,1038,0.973,1724,24,0.7140000000000001,0.654,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
1943,2,3,3,1168,0.718,7722,94,0.469,0.045,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
1944,3,2,1,1009,0.574,4525,83,0.7290000000000001,0.38299999999999995,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
1945,3,2,2,2085,0.764,4064,66,0.784,0.763,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0
1946,4,3,1,0,1.2930000000000001,4340,76,0.767,0.0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0
1947,6,4,1,1774,0.583,4294,67,0.718,0.247,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
1948,5,3,1,1656,0.657,3024,64,0.6,0.635,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
1949,1,3,3,2149,0.539,3630,78,0.696,0.611,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
1950,3,1,1,1389,0.917,3283,50,1.273,0.062,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
1951,2,3,1,357,0.8690000000000001,2629,41,0.64,0.124,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
1952,2,1,3,1705,0.605,6993,97,0.54,0.622,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
1953,6,3,3,774,0.586,4402,75,0.562,0.040999999999999995,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
1954,5,3,3,1067,0.618,4537,66,0.435,0.488,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
1955,4,3,3,1884,0.627,4779,83,0.93,0.7090000000000001,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
1956,4,3,3,0,0.48100000000000004,2137,40,0.33299999999999996,0.0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
1957,6,3,3,0,0.782,2170,41,0.46399999999999997,0.0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
1958,2,3,3,0,0.823,8198,90,0.915,0.0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0
1959,5,0,3,0,1.023,5046,77,0.925,0.0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
1960,1,1,2,2150,0.657,4377,84,0.867,0.7440000000000001,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
1961,6,2,0,1176,0.8109999999999999,4744,73,0.9209999999999999,0.47700000000000004,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
1962,4,1,2,2404,0.7340000000000001,3880,68,0.478,0.133,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
1963,3,3,4,0,0.718,4004,76,0.652,0.0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
1964,3,3,3,0,0.8059999999999999,2528,41,0.64,0.0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
1965,3,1,2,1568,0.7879999999999999,4537,81,0.8,0.084,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0
1966,6,3,4,0,1.068,1439,41,1.05,0.0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
1967,2,3,2,2127,0.8140000000000001,5578,89,0.8540000000000001,0.78,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
1968,3,6,2,2214,1.036,4682,81,0.841,0.826,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0
1969,3,3,4,0,0.6459999999999999,4111,62,0.55,0.0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
1970,1,3,4,1790,0.7979999999999999,2888,50,0.562,0.802,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
1971,3,2,3,1267,0.605,4515,76,0.49,0.6890000000000001,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
1972,3,3,2,2082,0.83,5092,70,0.7070000000000001,0.36700000000000005,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
1973,3,1,3,1670,0.6970000000000001,4105,73,0.5529999999999999,0.684,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
1974,5,3,1,1258,0.764,4139,67,0.914,0.276,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
1975,5,1,2,2189,0.276,1562,27,0.174,0.8440000000000001,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
1976,3,2,1,0,0.42100000000000004,4128,82,0.491,0.0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
1977,2,2,3,1585,0.617,14932,110,0.8029999999999999,0.17300000000000001,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
1978,5,3,2,1172,0.514,4419,64,0.73,0.363,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
1979,6,2,4,0,1.16,4066,74,0.682,0.0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
1980,4,3,2,1875,0.907,1897,50,1.083,0.539,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
1981,3,1,2,0,0.64,14873,120,0.7140000000000001,0.0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0
1982,3,2,2,1109,0.655,15442,125,0.7609999999999999,0.073,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
1983,4,2,2,1372,1.642,1704,35,0.45799999999999996,0.5529999999999999,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
1984,2,2,1,0,0.8009999999999999,2870,36,0.5,0.0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
1985,4,2,3,1444,0.568,16392,116,0.657,0.042,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
1986,6,2,2,2396,0.569,2069,54,0.742,0.631,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0
1987,1,1,3,0,0.861,4885,88,0.63,0.0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
1988,4,3,3,2517,0.9520000000000001,1843,35,0.9440000000000001,0.7709999999999999,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
1989,3,3,2,0,0.061,1628,42,0.077,0.0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
1990,4,1,4,0,0.7609999999999999,3519,70,0.591,0.0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0
1991,5,3,2,857,0.752,4741,84,0.7140000000000001,0.494,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0
1992,2,1,2,0,0.674,14160,124,0.7709999999999999,0.0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
1993,4,2,1,1914,0.51,1407,43,0.483,0.544,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
1994,1,3,2,1470,0.7959999999999999,14334,97,0.732,0.151,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0
1995,1,2,2,0,0.722,15331,106,0.767,0.0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
1996,4,2,1,0,0.732,8603,84,0.615,0.0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
1997,6,3,4,1491,0.8690000000000001,4351,62,0.632,0.604,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
1998,3,2,2,2091,0.7040000000000001,1977,50,1.0,0.674,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
1999,4,6,4,0,0.631,4196,81,0.588,0.0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
2000,4,2,3,0,0.696,4345,72,0.7559999999999999,0.0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0
2001,1,1,3,1411,0.652,4182,85,0.848,0.284,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
2002,4,1,2,1266,0.7090000000000001,1941,58,0.568,0.5710000000000001,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
2003,3,4,5,1019,0.875,3504,62,0.7709999999999999,0.073,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0
2004,5,3,0,0,0.753,4198,77,0.75,0.0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
2005,5,5,3,0,0.665,4676,78,0.773,0.0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
2006,3,3,4,0,0.6729999999999999,2249,42,0.312,0.0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
2007,5,1,2,690,1.32,2603,56,0.8059999999999999,0.048,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
2008,6,3,4,2000,0.637,4431,82,0.6729999999999999,0.215,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0
2009,5,3,3,461,0.636,1955,42,0.44799999999999995,0.21,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
2010,4,3,2,1358,0.657,3988,81,0.688,0.42700000000000005,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
2011,2,3,1,2051,0.9990000000000001,3719,69,0.643,0.253,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
2012,1,3,3,1685,0.597,3908,80,0.7020000000000001,0.41600000000000004,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
2013,3,2,1,2096,0.6659999999999999,7042,73,0.5529999999999999,0.061,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
2014,2,3,2,1992,0.7390000000000001,8302,81,0.841,0.125,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
2015,5,1,4,829,0.515,5783,73,0.622,0.08800000000000001,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0
2016,3,3,2,0,0.985,3456,72,0.636,0.0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
2017,4,6,3,822,0.722,4965,94,0.541,0.191,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
2018,5,2,3,0,0.716,2621,45,0.552,0.0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0
2019,2,1,3,2273,0.86,8502,103,0.7170000000000001,0.066,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
2020,4,1,3,0,0.963,4305,63,0.6579999999999999,0.0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
2021,3,2,1,1913,0.84,7535,92,0.6729999999999999,0.055,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
2022,3,1,1,1419,0.685,4218,74,0.805,0.414,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
2023,5,2,4,1086,0.5870000000000001,3896,65,0.757,0.19399999999999998,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
2024,6,5,3,0,0.7340000000000001,2589,49,0.69,0.0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
2025,4,2,4,1459,0.687,4759,70,0.556,0.046,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
2026,4,3,3,1666,0.613,1218,18,0.8,0.048,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
2027,5,3,2,904,0.627,3734,74,0.85,0.07,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
2028,4,1,2,1118,0.903,1581,30,1.0,0.52,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
2029,6,2,3,576,0.637,4253,80,0.6,0.051,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
2030,5,2,3,905,0.755,4855,69,0.5,0.13,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
2031,6,1,0,1916,0.7809999999999999,990,21,0.909,0.064,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
2032,3,2,4,2517,0.9259999999999999,1870,45,0.667,0.105,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
2033,1,6,3,1523,0.7240000000000001,4878,92,0.804,0.522,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
2034,6,3,3,0,0.557,2275,45,0.607,0.0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
2035,4,2,3,2016,0.9009999999999999,1097,33,0.833,0.5870000000000001,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0
2036,5,3,3,0,0.735,3723,53,0.767,0.0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
2037,6,3,3,0,1.06,4917,84,0.75,0.0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
2038,4,5,3,1546,1.135,3043,53,1.038,0.44299999999999995,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
2039,5,2,3,601,0.607,1621,32,0.6,0.406,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
2040,3,1,3,2517,0.72,4170,80,0.7390000000000001,0.456,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
2041,1,2,1,1255,0.81,8126,95,0.667,0.095,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
